Date,open,high,low,final,vol
2021-02-25,56501000,58890000,53800000,54168000,15921.35059
2021-02-24,55106000,58150000,52875000,56500000,19006.41113
2021-02-23,61688000,61760000,50900000,55105000,36042.68861
2021-02-22,65416000,65488000,56562000,61744000,28418.51483
2021-02-21,64260000,65846000,63381000,65417000,9000.189894
2021-02-20,63649000,65985000,62399000,64251000,16375.10552
2021-02-19,57852000,63680000,57038000,63649000,12496.05048
2021-02-18,57458000,58426000,56405000,57852000,9072.44556
2021-02-17,54760000,58120000,54431000,57484000,11559.32777
2021-02-16,52518000,55500000,51773000,54760000,11825.60488
2021-02-15,52711000,53086000,50313000,52532000,8789.306931
2021-02-14,50625000,53380000,50403000,52706000,11364.08402
2021-02-13,50836000,51757000,50258000,50626000,7055.123455
2021-02-12,51370000,52280000,50237000,50836000,8911.898307
2021-02-11,48550000,51800000,48074000,51370000,12305.59268
2021-02-10,48788000,49781000,47350000,48550000,11588.865
2021-02-09,49070000,51200000,48350000,48779000,18283.67538
2021-02-08,41921000,49583000,41562000,49070000,25472.07406
2021-02-07,41725000,42630000,40501000,41921000,8432.559742
2021-02-06,40421000,43622000,40345000,41725000,12812.76462
2021-02-05,39809000,40770000,39492000,40424000,7783.097938
2021-02-04,39345000,41426000,38059000,39810000,14561.23463
2021-02-03,37910000,39371000,37909000,39357000,9775.500022
2021-02-02,36618000,38300000,36323000,37910000,9650.442205
2021-02-01,36408000,38161000,35907000,36618000,13783.13636
2021-01-31,37039000,37633000,35800000,36408000,11396.06447
2021-01-30,37523000,38201000,36230000,37087000,12481.60664
2021-01-29,36631000,41072000,35514000,37523000,33565.73801
2021-01-28,34293000,37186000,33726000,36624000,9452.485501
2021-01-27,35929000,36026000,33235000,34300000,9356.771613
2021-01-26,36054000,36594000,34808000,35923000,8489.583177
2021-01-25,35539000,38388000,35394000,36054000,14596.3552
2021-01-24,35494000,36283000,34250000,35539000,7625.876467
2021-01-23,36345000,37018000,34678000,35493000,8710.028598
2021-01-22,34525000,37342000,31662000,36345000,21883.00424
2021-01-21,39253000,39329000,33867000,34519000,18816.54602
2021-01-20,39580000,39998000,37579000,39253000,10290.52814
2021-01-19,40008000,41251000,39580000,39586000,9913.189479
2021-01-18,39536000,40999000,38699000,40008000,8374.535245
2021-01-17,40070000,40722000,38102000,39536000,9785.469952
2021-01-16,40951000,41800000,39689000,40086000,10393.35015
2021-01-15,42787000,43199000,38690000,40952000,16278.02916
2021-01-14,41380000,43998000,40510000,42735000,15952.88893
2021-01-13,38496000,41900000,37001000,41380000,15632.80207
2021-01-12,40094000,40888000,36654000,38577000,22472.57576
2021-01-11,43400000,43570000,35010000,40094000,50543.88222
2021-01-10,45716000,47000000,39500000,43404000,23031.00699
2021-01-09,47201000,47650000,45171000,45718000,13453.12657
2021-01-08,44698000,48550000,42271000,47215000,21891.12559
2021-01-07,40764000,44990000,40250000,44698000,17201.05519
2021-01-06,38107000,41000000,37380000,40762000,15168.9807
2021-01-05,36478000,38590000,34357000,38093000,13461.98168
2021-01-04,37537000,38476000,33000000,36460000,23598.19459
2021-01-03,35700000,39453000,35500000,37537000,25381.50662
2021-01-02,32295000,36600000,31920000,35700000,17451.16768
2021-01-01,32037000,32599000,31800000,32296000,5752.494216
2020-12-31,31923000,32386000,31300000,32042000,8041.248074
2020-12-30,30498000,31999000,30333000,31891000,10282.8228
2020-12-29,30219000,30520000,29028000,30498000,7302.220616
2020-12-28,29347000,30587000,29167000,30249000,8175.159923
2020-12-27,29378000,31800000,28802000,29319000,19899.62591
2020-12-26,27122000,29524000,26983000,29378000,9647.774225
2020-12-25,26503000,27271000,26171000,27122000,7979.827412
2020-12-24,26380000,26608000,25774000,26503000,6661.237365
2020-12-23,26776000,27070000,25600000,26380000,12398.44761
2020-12-22,25387000,26828000,24925000,26776000,7994.073583
2020-12-21,25890000,26588000,24600000,25387000,13640.52346
2020-12-20,26169000,26562000,25422000,25880000,6316.485854
2020-12-19,25151000,26410000,24947000,26169000,7210.7292
2020-12-18,24737000,25247000,24360000,25151000,6288.938923
2020-12-17,22881000,25768000,22473000,24743000,18025.94451
2020-12-16,21103000,23033000,20900000,22888000,10828.41457
2020-12-15,20927000,21267000,20805000,21103000,3886.603302
2020-12-14,20786000,21000000,20610000,20939000,3105.389415
2020-12-13,20585000,21075000,20459000,20793000,4108.955282
2020-12-12,19658000,20650000,19654000,20585000,3773.488248
2020-12-11,19950000,19996000,19404000,19658000,4508.129895
2020-12-10,20252000,20275000,19647000,19950000,3151.82649
2020-12-09,20025000,20345000,19216000,20267000,5827.204903
2020-12-08,20834000,20931000,19942000,20010000,4532.537389
2020-12-07,20976000,21053000,20666000,20834000,3241.98488
2020-12-06,20778000,20999000,20574000,20976000,2247.748681
2020-12-05,20569000,20956000,20390000,20781000,2247.520461
2020-12-04,21183000,21266000,20428000,20569000,4243.742479
2020-12-03,21091000,21310000,20797000,21179000,4414.076428
2020-12-02,20867000,21315000,20346000,21097000,6264.747
2020-12-01,21313000,21651000,20202000,20867000,9671.686879
2020-11-30,19990000,21368000,19971000,21315000,9685.830452
2020-11-29,19486000,20110000,19196000,19991000,4169.396842
2020-11-28,19129000,19556000,18858000,19484000,5060.390911
2020-11-27,19226000,19654000,18500000,19129000,7568.746147
2020-11-26,20840000,20989000,18569000,19225000,13803.48683
2020-11-25,20957000,21459000,20600000,20840000,8276.714539
2020-11-24,20100000,21390000,19937000,20957000,15373.88018
2020-11-23,20307000,20528000,19901000,20100000,5709.959632
2020-11-22,20348000,20595000,19525000,20307000,7886.901086
2020-11-21,20627000,21025000,20200000,20351000,6136.933141
2020-11-20,19800000,20795000,19771000,20627000,6145.389983
2020-11-19,19714000,20080000,19385000,19802000,5978.142595
2020-11-18,19344000,20280000,18865000,19714000,11453.54479
2020-11-17,18275000,19417000,18207000,19332000,6075.982596
2020-11-16,17670000,18450000,17555000,18275000,4191.31591
2020-11-15,17796000,17831000,17545000,17670000,1842.978329
2020-11-14,17988000,18000000,17455000,17796000,2786.768757
2020-11-13,17952000,18225000,17640000,17988000,4395.696601
2020-11-12,17439000,17979000,17200000,17954000,5384.627474
2020-11-11,17035000,17600000,17009000,17439000,3969.121072
2020-11-10,17106000,17190000,16872000,17035000,2656.019968
2020-11-09,17276000,17550000,16695000,17106000,5112.232518
2020-11-08,16650000,17388000,16520000,17297000,3402.968942
2020-11-07,17397000,17613000,16252000,16647000,5131.604249
2020-11-06,17352000,17789000,17060000,17397000,7786.574967
2020-11-05,15959000,17540000,15900000,17352000,9583.127614
2020-11-04,15881000,16020000,15431000,15959000,4673.775324
2020-11-03,15396000,15900000,15150000,15881000,3888.004126
2020-11-02,15574000,15641000,15011000,15397000,3643.765543
2020-11-01,15606000,15710000,15461000,15574000,1806.621226
2020-10-31,15340000,15800000,15205000,15606000,4066.292449
2020-10-30,15207000,15460000,14899000,15340000,3753.488127
2020-10-29,15060000,15379000,14703000,15207000,3516.504745
2020-10-28,15300000,15557000,14635000,15060000,5752.669847
2020-10-27,14772000,15457000,14683000,15312000,3964.12532
2020-10-26,14687000,14920000,14358000,14764000,3031.758804
2020-10-25,14760000,15000000,14556000,14690000,2314.369467
2020-10-24,14579000,14800000,14514000,14760000,1868.379109
2020-10-23,14558000,14623000,14340000,14584000,2925.465487
